"name","dsID","region","period","value","is_number","source","units","last_updated","last_scraped","indID"
"Asylum seekers by Country of Origin","unhcr-popstats","ERI","2009","134",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ESP","2009","3280",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ERI","2011","7",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ERI","2012","14",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ERI","2013","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","EGY","2001","15655",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","EGY","2002","12094",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","EGY","2003","5409",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","EGY","2004","8752",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","EGY","2005","11005",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","EGY","2006","16368",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","EST","2005","8",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","EST","2006","8",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","EST","2007","6",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","EST","2008","7",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","EST","2009","19",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","EST","2010","10",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","EST","2011","9",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","EST","2012","7",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","EST","2013","10",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ETH","2000","38",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ETH","2001","3",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ETH","2002","19",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ETH","2003","10",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ETH","2004","40",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ETH","2005","209",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ETH","2006","323",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ETH","2007","185",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ETH","2008","1667",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ETH","2009","2458",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ETH","2010","1028",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ETH","2011","1347",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ETH","2012","844",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ETH","2013","920",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","FIN","2000","1300",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","FIN","2001","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","FIN","2002","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","FIN","2003","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","FIN","2004","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","FIN","2005","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ESP","2008","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","FIN","2007","721",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ESP","2010","2712",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ESP","2011","2670",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ESP","2012","2790",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","ESP","2013","4274",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","EST","2000","18",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","EST","2001","20",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","EST","2002","7",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","EST","2003","3",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","EST","2004","9",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JAM","2003","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JAM","2004","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JAM","2005","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JAM","2006","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JAM","2007","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JAM","2008","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JAM","2009","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JAM","2010","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JAM","2011","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JAM","2012","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JAM","2013","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JOR","2000","7873",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JOR","2001","5297",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JOR","2002","3788",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JOR","2003","6734",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JOR","2004","12453",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JOR","2005","16570",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JOR","2006","19248",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JOR","2007","367",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JOR","2008","685",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JOR","2009","604",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JOR","2010","2159",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JOR","2011","4975",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JOR","2012","2936",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JOR","2013","4368",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JPN","2000","277",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JPN","2001","328",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JPN","2002","316",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JPN","2003","428",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JPN","2004","496",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JPN","2005","533",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JPN","2006","1217",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JPN","2007","1515",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JPN","2008","2288",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JPN","2009","2935",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JPN","2010","3047",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JPN","2011","3698",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JPN","2012","4711",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","JPN","2013","6685",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KAZ","2000","5",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KAZ","2001","12",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KAZ","2002","3",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KAZ","2003","3",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KAZ","2004","9",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KAZ","2005","65",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KAZ","2006","89",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KAZ","2007","70",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KAZ","2008","126",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KAZ","2009","129",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KAZ","2010","314",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KAZ","2011","70",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KAZ","2012","85",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KAZ","2013","71",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KEN","2000","8713",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KEN","2001","12595",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KEN","2002","2418",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KEN","2003","4023",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KEN","2004","9474",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KEN","2005","16460",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KEN","2006","18515",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KEN","2007","5765",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KEN","2008","8760",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KEN","2009","18958",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KEN","2010","27966",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KEN","2011","35271",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KEN","2012","41944",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KEN","2013","52270",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KGZ","2000","386",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KGZ","2001","470",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KGZ","2002","654",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KGZ","2003","635",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KGZ","2004","453",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KGZ","2005","498",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KGZ","2006","569",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KGZ","2007","715",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KGZ","2008","765",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KGZ","2009","495",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KGZ","2010","554",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KGZ","2011","408",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KGZ","2012","351",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KGZ","2013","369",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KHM","2000","167",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KHM","2001","1051",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KHM","2002","81",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KHM","2003","46",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KHM","2004","316",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KHM","2005","68",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KHM","2006","127",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KHM","2007","239",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KHM","2008","61",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KHM","2009","29",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KHM","2010","51",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KHM","2011","49",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KHM","2012","24",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KHM","2013","6",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KNA","2000","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KNA","2001","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KNA","2002","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KNA","2003","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KNA","2004","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KNA","2005","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KNA","2006","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KNA","2007","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KNA","2008","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KNA","2009","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KNA","2010","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KNA","2011","0",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
"Asylum seekers by Country of Origin","unhcr-popstats","KNA","2012","1",1,"http://popstats.unhcr.org","People",NA,NA,"CHD.O.PRO.13.T6"
